 ply              new         cumulative        sec
   0                1                  1        0.0
   1                9                 10        0.0
   2               69                 79        0.0
   3              369                448        0.0
   4             1931               2379        0.1
   5             9493              11872        0.1
   6            44269              56141        0.2
   7           190568             246709        0.4
   8           774464            1021173        1.0
   9          2877776            3898949        2.9
  10          9735532           13634481       10.1
  11         28739006           42373487       32.9
  12         76344133          118717620      110.0
  13        177411843          296129463      324.0
  14        378216358          674345821     1752.4
