no-capture class: 1349187840 placements, 10793502720 slots (x2 stm x4 castling)
bitmap: 1.35 GB
 ply            new       cumulative       sec
   0              1                1       0.0
   1              9               10       0.0
   2             62               72       0.0
   3            275              347       0.0
   4           1157             1504       0.0
   5           4151             5655       0.0
   6          13984            19639       0.0
   7          42760            62399       0.0
   8         128310           190709       0.1
   9         358770           549479       0.3
  10         971619          1521098       0.8
  11        2331209          3852307       2.3
  12        5374355          9226662      11.2
  13       10648289         19874951      32.2
  14       20125860         40000811      72.0
  15       32068514         72069325     140.5
  16       47532703        119602028     199.8
  17       59459268        179061296     296.9
  18       67860987        246922283     505.4
  19       70035326        316957609     744.2
  20       68837772        385795381     981.7
  21       69125614        454920995    1178.4
  22       69342136        524263131    1274.6
  23       68948388        593211519    1501.1
  24       61248904        654460423    1635.5
  25       44704799        699165222    1770.6
  26       22864839        722030061    1825.2
  27        8063874        730093935    1855.1
  28        1703453        731797388    1864.0
  29         237729        732035117    1866.1
  30          23544        732058661    1866.3
  31            805        732059466    1866.3
  32             94        732059560    1866.3
  33              0        732059560    1866.3

EXACT reachable positions in the largest class: 732059560
  of 10793502720 index slots           -> 6.7824% dense
  of 670,442,572,800 x 8 naive  -> 0.01365% dense
